FIELD;RA;DEC;BEGIN OBS;END OBS;MED OBS;I;Q;error Q;U;error U ;BAND;CONDITION;CLOUDS;CLEAR;SUN;SEEING
F60;89.47221;-13.62131;2021-01-26T00:37:13;2021-01-26T00:48:21;2021-01-26T00:42:47;21310.070;-0.117568;0.003102;-0.030394;0.001476;B;clouds;1;0;0;1.070
F9;66.66121;24.65011;2021-01-26T01:26:11;2021-01-26T01:42:35;2021-01-26T01:34:23;84236.390;0.0684930;0.001887;-0.010343;0.003944;B;clouds;1;0;0;1.670
F58;75.41671;-48.90769;2021-01-27T00:53:53;2021-01-27T01:02:08;2021-01-27T00:58:01;10295.016;-0.254614;0.013936;-0.531848;0.005213;B;sun;0;0;1;0.948
F55;54.02579;-20.96981;2021-01-27T01:10:29;2021-01-27T01:25:37;2021-01-27T01:18:03;23167.067;0.1425080;0.010756;-0.474828;0.005013;B;ok;0;1;0;0.793
F10;71.42771;17.19769;2021-01-27T02:05:17;2021-01-27T02:16:02;2021-01-27T02:10:40;35873.124;0.119294;0.002883;-0.070613;0.005094;B;ok;0;1;0;1.548
F11;82.95929;12.62319;2021-01-26T02:28:11;2021-01-26T02:48:12;2021-01-26T02:38:12;44434.434;0.020275;0.001991;-0.014074;0.002849;B;clouds;1;0;0;1.328
F17;133.1520;24.72839;2021-01-27T03:14:44;2021-01-27T03:24:38;2021-01-27T03:19:41;52401.422;0.052770;0.001344;0.0325700;0.003688;B;ok;0;1;0;0.865
9090-7;138.0010;-7.84645;2021-01-27T03:55:18;2021-01-27T04:06:56;2021-01-27T04:01:07;27063.804;-0.040809;0.002365;0.200934;0.002518;B;ok;0;1;0;0.938
F64;156.5880;-0.12736;2021-01-27T04:39:57;2021-01-27T04:52:39;2021-01-27T04:46:18;29257.864;0.109092;0.004658;0.287584;0.005623;B;ok;0;1;0;0.785
F23;173.4130;13.44331;2021-01-27T05:30:28;2021-01-27T05:44:24;2021-01-27T05:37:26;34429.026;0.273164;0.006503;0.317657;0.008952;B;ok;0;1;0;0.700
CT2;194.38792;-2.38783;2021-01-27T06:22:51;2021-01-27T06:39:33;2021-01-27T06:31:12;30546.204;0.326041;0.010357;0.519894;0.009753;B;ok;0;1;0;1.125
F74;235.7310;-34.1110;2021-01-27T07:25:45;2021-01-27T07:38:01;2021-01-27T07:31:53;28961.441;0.192950;0.001901;0.070727;0.006355;B;ok;0;1;0;0.633
F65;166.3910;-77.77269;2021-01-27T08:15:28;2021-01-27T08:23:27;2021-01-27T08:19:28;8111.931;0.138828;0.009773;0.549999;0.006064;B;ok;0;1;0;0.690
1101-264;166.20418;-27.00247;2021-01-27T08:52:44;2021-01-27T09:00:44;2021-01-27T08:56:44;1149.329;0.028247;0.006501;0.351593;0.003294;B;sun;0;0;1;0.708
F60;89.47221;-13.62131;2021-01-26T00:52:56;2021-01-26T00:59:03;2021-01-26T00:56:00;14520.80491;-0.120288;0.002884;-0.024928;0.001492;V;clouds;1;0;0;0.963
F9;66.66121;24.65011;2021-01-26T01:48:53;2021-01-26T01:57:32;2021-01-26T01:53:13;66682.34914;0.056383;0.002194;-0.013824;0.003993;V;clouds;1;0;0;1.350
F58;75.41671;-48.90769;2021-01-27T00:46:33;2021-01-27T00:51:24;2021-01-27T00:48:59;6312.687775;-0.255266;0.010908;-0.513408;0.003731;V;sun;0;0;1;0.903
F55;54.02579;-20.96981;2021-01-27T01:31:34;2021-01-27T01:39:35;2021-01-27T01:35:35;14964.13943;0.127727;0.008440;-0.456867;0.005098;V;ok;0;1;0;0.738
F10;71.42771;17.19769;2021-01-27T02:20:28;2021-01-27T02:26:26;2021-01-27T02:23:27;25031.75359;0.100576;0.002902;-0.067319;0.004828;V;ok;0;1;0;1.618
F11;82.95929;12.62319;2021-01-26T02:52:03;2021-01-27T03:03:55;2021-01-26T02:57:59;45319.62467;0.012404;0.002372;-0.013672;0.003061;V;clouds;1;0;0;2.033
F17;133.1520;24.72839;2021-01-27T03:28:47;2021-01-27T03:34:21;2021-01-27T03:31:34;37081.03198;0.045558;0.001876;0.0212800;0.003768;V;ok;0;1;0;0.813
9090-7;138.0010;-7.84645;2021-01-27T04:11:43;2021-01-27T04:18:05;2021-01-27T04:14:54;17264.17996;-0.038416;0.001230;0.1851590;0.002654;V;ok;0;1;0;0.908
F64;156.5880;-0.12736;2021-01-27T04:57:48;2021-01-27T05:04:39;2021-01-27T05:01:14;18156.98078;0.104008;0.002586;0.262138;0.005155;V;ok;0;1;0;0.685
F23;173.4130;13.44331;2021-01-27T05:49:53;2021-01-27T05:57:18;2021-01-27T05:53:36;20563.97911;0.262734;0.004004;0.289032;0.007697;V;ok;0;1;0;0.683
CT2;194.38792;-2.38783;2021-01-27T06:46:04;2021-01-27T06:54:49;2021-01-27T06:50:27;17442.61239;0.333056;0.006910;0.489692;0.009197;V;ok;0;1;0;1.513
F74;235.7310;-34.1110;2021-01-27T07:42:56;2021-01-27T07:49:36;2021-01-27T07:46:16;16609.80486;0.216699;0.001576;0.058430;0.006439;V;ok;0;1;0;0.653
F65;166.3910;-77.77269;2021-01-27T08:26:57;2021-01-27T08:31:38;2021-01-27T08:29:18;4921.48314;0.130436;0.006359;0.538868;0.005354;V;ok;0;1;0;0.690
1101-264;166.20418;-27.00247;2021-01-27T09:04:20;2021-01-27T09:09:00;2021-01-27T09:06:40;843.577757;-0.001768;0.002094;0.230696;0.003009;V;sun;0;0;1;0.765
F60;89.47221;-13.62131;2021-01-26T01:01:53;2021-01-26T01:06:44;2021-01-26T01:04:19;11955.31277;-0.112093;0.002822;-0.014167;0.002378;R;clouds;1;0;0;1.078
F9;66.66121;24.65011;2021-01-26T02:01:09;2021-01-26T02:07:39;2021-01-26T02:04:24;48165.25001;0.056113;0.002594;-0.018139;0.003986;R;clouds;1;0;0;1.055
F58;75.41671;-48.90769;2021-01-27T00:40:38;2021-01-27T00:40:38;2021-01-27T00:40:38;4963.035108;-0.234181;0.007196;-0.439755;0.002185;R;sun;0;0;1;0.893
F55;54.02579;-20.96981;2021-01-27T01:43:03;2021-01-27T01:49:11;2021-01-27T01:46:07;11333.36474;0.075579;0.005676;-0.41805;0.004028;R;ok;0;1;0;0.788
F10;71.42771;17.19769;2021-01-27T02:29:10;2021-01-27T02:35:08;2021-01-27T02:32:09;19357.35251;0.083346;0.002791;-0.069988;0.004371;R;ok;0;1;0;1.603
F11;82.95929;12.62319;2021-01-27T02:49:32;2021-01-27T02:56:42;2021-01-27T02:53:07;11210.5674;0.034603;0.002934;-0.065743;0.003695;R;clouds;1;0;0;0.813
F17;133.1520;24.72839;2021-01-27T03:36:57;2021-01-27T03:41:22;2021-01-27T03:39:10;28517.26367;0.045943;0.002744;0.013380;0.003995;R;ok;0;1;0;0.820
9090-7;138.0010;-7.84645;2021-01-27T04:20:59;2021-01-27T04:25:57;2021-01-27T04:23:28;12668.99876;-0.020421;0.001679;0.171256;0.003153;R;ok;0;1;0;0.855
F64;156.5880;-0.12736;2021-01-27T05:07:45;2021-01-27T05:13:05;2021-01-27T05:10:25;13228.95137;0.115313;0.001714;0.224762;0.004693;R;ok;0;1;0;0.725
F23;173.4130;13.44331;2021-01-27T06:00:30;2021-01-27T06:06:43;2021-01-27T06:03:37;16459.12801;0.262048;0.002190;0.235072;0.005891;R;ok;0;1;0;0.743
CT2;194.38792;-2.38783;2021-01-27T06:58:33;2021-01-27T07:05:41;2021-01-27T07:02:07;13387.96687;0.349048;0.003856;0.409608;0.006721;R;ok;0;1;0;1.745
F74;235.7310;-34.1110;2021-01-27T07:52:34;2021-01-27T07:58:14;2021-01-27T07:55:24;13171.15791;0.217974;0.002499;0.030014;0.005029;R;ok;0;1;0;0.618
F65;166.3910;-77.77269;2021-01-27T08:33:59;2021-01-27T08:37:44;2021-01-27T08:35:52;3796.848702;0.151747;0.002688;0.459012;0.004739;R;ok;0;1;0;0.685
1101-264;166.20418;-27.00247;2021-01-27T09:11:23;2021-01-27T09:15:26;2021-01-27T09:13:25;1481.605924;-0.001785;0.001755;0.235585;0.003446;R;sun;0;0;1;0.818
F60;89.47221;-13.62131;2021-01-26T01:09:02;2021-01-26T01:13:31;2021-01-26T01:11:17;7053.652275;-0.088142;0.002561;-0.005842;0.003703;I;clouds;1;0;0;1.045
F9;66.66121;24.65011;2021-01-26T02:10:28;2021-01-26T02:16:25;2021-01-26T02:13:27;29388.34457;0.0458670;0.003079;-0.017683;0.003828;I;clouds;1;0;0;1.970
F58;75.41671;-48.90769;2021-01-27T00:35:05;2021-01-27T00:38:44;2021-01-27T00:36:55;4451.489996;-0.076955;0.003179;-0.32354;0.003748;I;sun;0;0;1;0.948
F55;54.02579;-20.96981;2021-01-27T01:51:56;2021-01-27T01:57:32;2021-01-27T01:54:44;7466.643281;0.030217;0.002820;-0.258403;0.003760;I;ok;0;1;0;0.793
F10;71.42771;17.19769;2021-01-27T02:36:13;2021-01-27T02:40:38;2021-01-27T02:38:26;10719.21201;0.059852;0.002643;-0.058661;0.004082;I;ok;0;1;0;1.608
F11;82.95929;12.62319;2021-01-26T02:58:30;2021-01-26T03:05:05;2021-01-26T03:01:48;5867.126423;0.025901;0.002972;-0.064564;0.004243;I;clouds;1;0;0;0.865
F17;133.1520;24.72839;2021-01-27T03:43:29;2021-01-27T03:47:35;2021-01-27T03:45:32;15302.09626;0.041577;0.003197;0.0082990;0.004008;I;ok;0;1;0;0.905
9090-7;138.0010;-7.84645;2021-01-27T04:28:18;2021-01-27T04:32:54;2021-01-27T04:30:36;7120.252446;-0.008174;0.003054;0.127448;0.003717;I;ok;0;1;0;0.808
F64;156.5880;-0.12736;2021-01-27T05:15:34;2021-01-27T05:20:29;2021-01-27T05:18:02;7675.876561;0.087834;0.003299;0.147273;0.004176;I;ok;0;1;0;0.730
F23;173.4130;13.44331;2021-01-27T06:09:26;2021-01-27T06:15:13;2021-01-27T06:12:20;9453.356664;0.189766;0.003522;0.147416;0.004161;I;ok;0;1;0;0.768
CT2;194.38792;-2.38783;2021-01-27T07:08:46;2021-01-27T07:15:19;2021-01-27T07:12:03;8064.176012;0.024610;0.004058;0.245572;0.004151;I;ok;0;1;0;1.93
F74;235.7310;-34.1110;2021-01-27T08:00:46;2021-01-27T08:06:05;2021-01-27T08:03:26;8445.207815;0.150816;0.003144;0.007876;0.004105;I;ok;0;1;0;0.638
F65;166.3910;-77.77269;2021-01-27T08:39:38;2021-01-27T08:43:12;2021-01-27T08:41:25;3296.341596;0.097194;0.003710;0.249015;0.004038;I;ok;0;1;0;0.68
1101-264;166.20418;-27.00247;2021-01-27T09:17:29;2021-01-27T09:21:17;2021-01-27T09:19:23;2652.313057;-0.009898;0.003279;0.197499;0.003940;I;sun;0;0;1;0.828
ORIG-CT1;151.112395;-2.31674;2017-03-12T01:05:50;2017-03-12T01:05:50;2017-03-12T01:05:50;68495.788;0.009959;0.001854;-0.022843;0.002313;B;ok;0;1;0;0.890
ORIG-CT2;151.112396;-2.31674;2017-03-12T01:41:48;2017-03-12T01:41:48;2017-03-12T01:41:48;65284.8055;0.01355;0.002374;-0.035962;0.002683;V;ok;0;1;0;1.22
ORIG-CT3;151.112397;-2.31674;2017-03-12T01:05:50;2017-03-12T02:03:41;2017-03-12T02:03:41;67646.88685;0.008805;0.002508;-0.029549;0.003346;R;ok;0;1;0;1.06
ORIG-CT4;151.112398;-2.31674;2017-03-12T01:05:53;2017-03-12T02:26:17;2017-03-12T02:26:17;61893.01025;0.004283;0.002849;-0.022303;0.003926;I;ok;0;1;0;0.94
